,Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
186,872305,Kevin,Hensley,F,1950-11-02,123.18,2023-01-02,Chan-Myers,Clothing
187,696669,Jose,Green,,1956-10-31,10.02,2023-05-06,Reed-Warner,Cosmetic
191,259800,Kelly,Bush,F,1976-10-26,168.69,2023-02-14,"Jones, Franklin and Lambert",Cosmetic
192,733597,David,Morgan,F,1986-10-24,58.04,2023-02-22,Mann-Mccormick,Restaurant
193,655471,Amy,Davis,F,2005-10-19,464.17,2023-02-22,Burke Group,Market
194,827843,Jacqueline,Gordon,F,1973-10-27,766.06,2023-05-15,Wu LLC,Travel
195,726336,David,Barber,F,1953-11-01,39.24,2023-01-17,Lopez-Gonzalez,Restaurant
196,7793,Linda,Pittman,F,1948-11-02,12.67,2023-02-16,Gray-Smith,Restaurant
199,59423,Franklin,Mason,F,1962-10-30,290.5,2023-05-16,"Parsons, Ballard and Kelley",Clothing
201,187306,Michael,Acosta,,1962-10-30,226.16,2023-07-01,"Goodwin, Lopez and Skinner",Clothing
203,508537,Whitney,Jones,,1960-10-30,147.81,2023-08-09,"Thomas, Harrell and Davenport",Market
209,659582,Brianna,Brown,F,1996-10-21,18.96,2023-06-11,"Ellis, Chambers and Wilson",Cosmetic
210,845147,Teresa,Hunter,F,1954-11-01,241.12,2023-08-21,Fernandez Group,Clothing
211,975406,Tabitha,Wood,,1962-10-30,2648.72,2023-08-05,Little-Solomon,Travel
213,325243,Cory,Hernandez,F,1975-10-27,98.1,2023-05-19,"Gonzalez, Lowe and Key",Restaurant
214,36470,Mary,Rodriguez,F,1978-10-26,764.15,2023-07-04,"Hernandez, Johnson and Anderson",Electronics
215,895352,Kimberly,Smith,F,1958-10-31,82.77,2023-04-24,"Robles, Miller and Perez",Restaurant
217,733759,Kim,Gonzalez,F,1993-10-22,593.21,2023-02-22,Hernandez LLC,Electronics
219,746742,Deborah,Johnson,F,2002-10-20,484.35,2023-06-26,Tucker-Moreno,Market
223,559660,Ethan,Jackson,F,2002-10-20,76.07,2023-07-11,"Case, Johnson and Wells",Restaurant
226,956541,Jillian,Greene,F,1949-11-02,85.14,2023-04-30,Anderson-Stephens,Cosmetic
227,542031,Denise,Wolfe,F,1953-11-01,115.53,2023-07-16,Berry-Huerta,Market
230,670772,Nicholas,Maynard,,1949-11-02,603.67,2023-03-30,Rodriguez Group,Electronics
235,889604,Caitlyn,Dyer,F,1977-10-26,97.47,2023-01-02,Guzman Ltd,Restaurant
236,531316,Robert,Snyder,F,2005-10-19,537.07,2023-06-24,Williams Group,Travel
238,723676,Christopher,York,F,1975-10-27,87.06,2023-02-19,"James, West and Smith",Clothing
244,537845,Justin,Reed,,1993-10-22,424.43,2023-04-02,Nixon-Thompson,Market
245,202536,Alex,Bryant,F,1981-10-25,505.33,2023-08-17,Garcia and Sons,Electronics
246,455049,Jeremiah,Austin,F,1999-10-21,1641.29,2023-06-20,Haley-Smith,Travel
247,893073,Sheila,Martinez,F,1959-10-31,122.58,2023-02-07,"Romero, Woods and Flores",Cosmetic
248,513376,Crystal,Brown,,1971-10-28,274.06,2023-10-03,Day LLC,Clothing
249,6526,Joseph,Horton,F,1969-10-28,344.11,2023-02-17,"Cook, Estrada and Anderson",Market
251,557862,Michael,Miles,F,2002-10-20,2045.17,2023-07-04,Carter Group,Travel
252,26510,Jason,Lang,,1960-10-30,93.86,2023-06-16,"Hernandez, Smith and Molina",Market
254,491218,Angela,Harmon,,1968-10-28,91.53,2023-05-31,"Henderson, Brooks and Sanchez",Market
255,382546,Tristan,Gray,,2004-10-19,742.48,2023-06-22,"Powell, Spencer and Abbott",Electronics
257,124147,Felicia,Simon,F,1969-10-28,784.94,2023-10-05,"Lester, West and Walker",Travel
258,401596,Chelsea,King,F,1997-10-21,125.32,2023-01-28,"Cain, Ross and Sanchez",Cosmetic
259,469417,Kimberly,Maynard,F,1949-11-02,998.0,2023-05-20,"Parker, Fuller and Coleman",Electronics
260,66785,Kyle,Smith,F,1962-10-30,81.6,2023-09-03,Sanders-Lamb,Restaurant
261,616911,Glenn,Wright,F,1970-10-28,103.34,2023-08-20,Coleman LLC,Cosmetic
262,643778,Amber,Gonzales,F,1983-10-25,49.77,2023-07-29,Carter-Garcia,Restaurant
264,951432,Angela,Ross,F,1967-10-29,2028.85,2023-10-02,Heath Group,Travel
266,583892,Brian,Arnold,F,1999-10-21,1343.51,2023-06-05,Le Group,Travel
268,83144,James,Kirk,F,2005-10-19,99.51,2023-09-07,Rodriguez-Nguyen,Cosmetic
272,840937,Kathryn,Little,F,1986-10-24,891.48,2023-01-21,"Dennis, Sanchez and Collins",Travel
273,240657,Michelle,Smith,F,2000-10-20,836.15,2023-04-16,Proctor-Davis,Electronics
275,579730,Tommy,Snyder,F,1988-10-23,43.66,2023-09-03,Foster-Lopez,Market
276,526777,Michael,Adams,F,1956-10-31,74.03,2023-01-12,Kim LLC,Restaurant
278,787347,Nicholas,Soto,,1980-10-25,18.65,2023-08-06,"Rogers, Flowers and Dennis",Cosmetic
279,439045,Derrick,Nelson,F,1965-10-29,2695.47,2023-09-14,"Lee, Mahoney and Vargas",Travel
280,569429,Peter,Cunningham,F,1985-10-24,66.13,2023-05-03,Robinson-Joseph,Market
281,701139,Paul,Gomez,,1980-10-25,243.25,2023-02-28,Vega and Sons,Clothing
282,134095,Frank,Hudson,F,1985-10-24,1547.47,2023-05-31,Davenport LLC,Travel
285,721258,Stephanie,Stewart,F,1984-10-24,97.23,2023-10-10,Daniel PLC,Cosmetic
289,100620,Donna,Nguyen,F,1951-11-02,18.49,2023-06-18,"Cobb, Perez and Thomas",Restaurant
292,459845,Pamela,Kennedy,F,1949-11-02,2379.84,2023-08-10,"Garcia, Smith and Gay",Travel
293,387252,Daniel,Donaldson,F,1972-10-27,631.76,2023-03-17,Reed Group,Electronics
304,810630,Sheila,Castro,F,1964-10-29,50.58,2023-04-26,Vasquez Ltd,Market
305,260128,William,Sandoval,F,1963-10-30,537.51,2023-06-21,Romero PLC,Electronics
308,726946,Nichole,Hubbard,F,1953-11-01,2326.85,2023-04-27,Gibson-Beard,Travel
311,321818,Benjamin,Riddle,F,1951-11-02,265.32,2023-02-25,"Thompson, Sellers and Wilson",Electronics
313,512241,Gregory,Davidson,F,1982-10-25,65.41,2023-08-16,"Oconnor, Gonzalez and Larson",Clothing
314,902166,Ashley,Brown,F,1972-10-27,545.65,2023-05-13,Garcia-Clark,Electronics
315,197927,Joy,Burns,F,1948-11-02,25.56,2023-10-03,"White, Adams and Velasquez",Clothing
316,59895,Daniel,Adkins,F,1957-10-31,711.89,2023-05-10,Solis-White,Electronics
319,645330,Courtney,Mora,F,1992-10-22,50.23,2023-07-01,Burns-Fernandez,Cosmetic
321,664468,Jeffrey,Olsen,F,1995-10-22,1688.38,2023-06-05,Miller-Villegas,Travel
322,672808,Caitlin,Morgan,F,1958-10-31,285.98,2023-05-09,"Hansen, Ortiz and Johnson",Market
323,552994,Shelly,Jordan,F,1994-10-22,140.13,2023-02-26,Harris-Myers,Clothing
324,282989,Joseph,Gentry,,1951-11-02,332.52,2023-09-27,"Waters, Velasquez and Patterson",Electronics
327,855534,James,Farley,,1959-10-31,1784.28,2023-06-18,Lee-Greene,Travel
331,519214,Marcus,Sloan,F,1974-10-27,93.27,2023-07-12,Tucker PLC,Market
333,175803,Jacob,Mcguire,F,1948-11-02,114.8,2023-06-06,"Andrews, Wright and Foley",Cosmetic
334,485783,Raymond,Clark,F,1965-10-29,216.09,2023-08-05,Jordan Ltd,Clothing
336,112710,William,Thomas,,1951-11-02,87.37,2023-03-13,Willis-Sullivan,Market
337,437885,Melanie,Hood,F,1999-10-21,170.29,2023-10-07,"Rangel, Caldwell and Williamson",Clothing
339,375453,Jessica,Blake,F,1975-10-27,92.6,2023-08-31,"Romero, Mack and Smith",Market
341,965209,Mary,Bauer,F,1972-10-27,85.53,2023-09-14,"Mercado, Williams and Schmidt",Clothing
342,555864,Edward,Rodriguez,F,1957-10-31,276.51,2023-03-09,Ramirez-Sanchez,Market
343,525726,Michael,English,F,1968-10-28,76.37,2023-08-28,Alvarado-Lane,Restaurant
344,34565,Christopher,Le,F,2000-10-20,31.05,2023-06-11,"Paul, Arroyo and Garcia",Restaurant
346,578151,Yvonne,Lewis,F,1982-10-25,208.86,2023-05-26,Crosby-Miller,Clothing
347,132375,Stephanie,Gonzalez,F,1962-10-30,101.76,2023-09-27,"Chavez, Reyes and Robinson",Cosmetic
348,322017,Jacqueline,Robbins,F,1982-10-25,643.84,2023-10-11,"Mayer, Parks and Reed",Electronics
349,780567,Caleb,Johnson,F,1949-11-02,116.38,2023-08-28,Keith Ltd,Market
350,467203,Jack,Fox,,1982-10-25,136.57,2023-09-22,"Johnston, Wells and King",Clothing
351,486633,Laura,Tyler,F,1961-10-30,199.1,2023-08-25,Warren PLC,Clothing
352,361587,Kimberly,Robertson,,1964-10-29,172.54,2023-04-26,Pena LLC,Market
353,801423,Cheyenne,Evans,F,1974-10-27,414.2,2023-05-04,Ryan and Sons,Market
354,551054,Julie,Newton,F,1987-10-24,52.21,2023-05-28,Marshall PLC,Restaurant
355,81000,Jennifer,Guzman,F,1949-11-02,119.04,2023-10-11,Cuevas and Sons,Market
357,630269,Gregory,Nelson,F,2000-10-20,422.67,2023-01-23,"Murillo, Daniels and Hunter",Electronics
358,410506,Stephanie,Anderson,F,1948-11-02,17.03,2023-04-01,Whitaker PLC,Market
359,975380,Christopher,Blankenship,F,1954-11-01,69.44,2023-03-06,Carlson-Weiss,Restaurant
360,928833,Alyssa,Brandt,F,1990-10-23,115.85,2023-02-22,"Hill, Velasquez and Long",Clothing
363,432882,Jennifer,Barton,F,2003-10-20,149.99,2023-07-21,Smith-Briggs,Cosmetic
365,729265,Derek,Spencer,F,1959-10-31,176.99,2023-08-22,Matthews-Ross,Electronics
366,361892,Michael,Jacobs,F,1973-10-27,286.36,2023-04-19,"Myers, Stone and Freeman",Market
367,858489,Kelly,Price,F,1990-10-23,32.96,2023-05-11,Thomas-Sandoval,Restaurant
368,35284,Mary,Reyes,F,1974-10-27,287.67,2023-07-22,Jones-Pierce,Market
369,723891,Craig,Molina,F,1954-11-01,75.75,2023-05-24,Grimes Group,Restaurant
370,669929,Gary,Atkins,F,2003-10-20,42.97,2023-09-13,"Lopez, Davis and Jones",Clothing
371,341880,Amy,Wagner,,2000-10-20,63.28,2023-05-24,"Estrada, Fischer and Jones",Clothing
373,913296,Michelle,Johnson,F,1997-10-21,2202.33,2023-07-11,Simmons Ltd,Travel
375,592981,Nicholas,Medina,F,2002-10-20,191.47,2023-06-17,"Hendricks, Kelly and Love",Cosmetic
377,764741,Allison,Johnson,F,1961-10-30,2376.55,2023-06-04,"Lara, Dixon and Payne",Travel
378,511236,Lisa,Anderson,F,1975-10-27,19.75,2023-08-05,"Murphy, Cobb and Willis",Cosmetic
380,176556,Erica,Gordon,F,1982-10-25,802.85,2023-02-17,Mack Inc,Electronics
383,57228,Patricia,Watkins,F,1949-11-02,931.48,2023-05-03,"Trevino, Ward and Smith",Electronics
384,998183,Cindy,Douglas,F,2004-10-19,125.19,2023-08-01,"Brown, Booker and Mccormick",Cosmetic
385,979926,Mary,Gordon,,1952-11-01,56.81,2023-01-26,"Salas, Flowers and Mckinney",Restaurant
386,741762,Michael,Moran,F,1954-11-01,175.56,2023-01-20,Sloan-Jenkins,Clothing
387,301646,Todd,Mccarthy,F,2004-10-19,597.92,2023-06-03,Clark Inc,Electronics
388,924803,Michael,Aguilar,,1989-10-23,214.0,2023-05-14,Mullins-Lambert,Clothing
390,112977,William,Leblanc,F,1959-10-31,772.85,2023-02-17,Ward-Morris,Electronics
391,34552,Melinda,Johnston,F,1955-11-01,205.44,2023-01-19,Brooks LLC,Market
392,561456,Samantha,Jensen,F,1968-10-28,116.29,2023-06-27,Wheeler PLC,Clothing
396,811255,Steven,Knight,F,1983-10-25,548.04,2023-04-28,Adams and Sons,Electronics
398,590961,Christina,Hayes,F,1988-10-23,282.19,2023-01-10,"Higgins, Hall and Davis",Market
400,505823,Diane,Henry,F,1959-10-31,31.22,2023-08-02,"Williams, Wyatt and Cox",Cosmetic
404,652103,Matthew,Baird,F,1958-10-31,132.95,2023-08-23,Mendez-Howell,Cosmetic
405,848763,Natalie,Watkins,F,1967-10-29,163.08,2023-01-13,Miller-Lamb,Clothing
407,216051,Janet,Taylor,F,1966-10-29,68.67,2023-07-19,Weaver-Hernandez,Restaurant
408,554001,Jessica,Jordan,F,1992-10-22,1823.71,2023-03-24,Garrett and Sons,Travel
409,325241,Benjamin,Conrad,,2000-10-20,150.42,2023-07-28,Mullins PLC,Clothing
410,875477,Cynthia,Watson,F,1971-10-28,102.77,2023-08-10,Andersen LLC,Electronics
411,218255,Jason,Cochran,F,1949-11-02,2912.32,2023-01-06,"Oliver, Williams and Hill",Travel
412,239992,David,Perry,F,2000-10-20,2840.77,2023-03-06,Travis Group,Travel
413,547726,Ann,Vazquez,,1974-10-27,399.59,2023-03-10,Friedman Ltd,Electronics
416,133598,Krystal,Clark,,1997-10-21,255.46,2023-07-04,"Mckee, Lawrence and Mann",Market
417,616762,Cory,Russell,F,1971-10-28,416.22,2023-02-03,"Dixon, Martin and Martin",Travel
418,794261,John,Knox,F,1976-10-26,12.61,2023-07-15,Romero-Moore,Restaurant
419,343875,Don,Patterson,F,1959-10-31,19.54,2023-04-29,Robinson-Keller,Restaurant
421,313289,Thomas,Hopkins,F,1978-10-26,729.7,2023-06-27,"Lynch, Hernandez and Berger",Electronics
425,762591,Brandon,Durham,F,1959-10-31,124.81,2023-05-04,"Gregory, Brown and Williams",Cosmetic
426,417462,Nicole,Martin,,1950-11-02,1334.77,2023-10-14,Jensen-Francis,Travel
427,368174,Richard,Jones,F,1964-10-29,30.88,2023-02-27,Ortiz-Ellis,Cosmetic
429,737157,Robert,Richardson,,1948-11-02,59.63,2023-07-22,Roberts Inc,Cosmetic
431,903378,Tony,Lee,,1988-10-23,461.3,2023-06-10,"Myers, Riggs and Miller",Market
432,433526,Donald,Montgomery,,1982-10-25,136.29,2023-04-14,Heath-Hensley,Electronics
434,386647,Jeremiah,Smith,F,1977-10-26,81.38,2023-01-20,Gonzalez Ltd,Market
435,623449,David,Cervantes,F,1952-11-01,30.31,2023-09-19,"Miller, Mcfarland and Davis",Restaurant
436,383870,Jason,Hernandez,F,1996-10-21,165.45,2023-03-08,"Berry, Russell and Todd",Clothing
439,483334,Elizabeth,Blake,,1982-10-25,1964.78,2023-04-06,Williams-Gregory,Travel
440,551823,John,Fleming,F,1977-10-26,1647.45,2023-09-13,Miller-Harvey,Travel
441,873403,Amber,Douglas,,1989-10-23,651.69,2023-05-06,Coleman LLC,Travel
442,984568,Daniel,Wilcox,F,1994-10-22,55.64,2023-10-07,Cooper Group,Cosmetic
443,337362,Anthony,Mills,F,1981-10-25,633.07,2023-01-05,Stephens PLC,Electronics
444,544731,Laura,Torres,F,1966-10-29,527.37,2023-05-14,Ward-Dixon,Travel
445,337908,James,Cain,F,1987-10-24,146.16,2023-09-09,"Taylor, Davis and Martin",Electronics
446,894914,Kyle,Mccall,F,1999-10-21,29.44,2023-04-20,"Young, Roberts and Bell",Restaurant
447,399627,John,Pugh,F,1953-11-01,2707.98,2023-07-07,Tucker-Robinson,Travel
449,666221,Timothy,Oneill,F,1953-11-01,236.38,2023-02-26,Smith PLC,Clothing
457,29936,Jerome,Nichols,F,1954-11-01,84.9,2023-03-10,"Murray, Mcintyre and Smith",Clothing
460,356281,Amanda,King,,1948-11-02,977.8,2023-01-18,"Moore, Newton and Williams",Travel
463,785137,Dale,Alexander,F,1996-10-21,157.77,2023-05-28,Hill-Ingram,Cosmetic
465,389369,Gary,Burke,F,1957-10-31,39.64,2023-03-04,"Adams, Moyer and Foster",Market
466,54394,Ricardo,Chung,F,1951-11-02,71.87,2023-03-30,"Pearson, Gay and Green",Cosmetic
467,814565,Bianca,Norris,,1978-10-26,151.99,2023-06-20,Owens Inc,Cosmetic
468,298662,Austin,Gibson,F,1968-10-28,94.29,2023-01-20,Jefferson LLC,Restaurant
469,364974,Bryan,Cochran,F,1958-10-31,2128.69,2023-07-19,Payne LLC,Travel
