,Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
88,59633,Derrick,Aguilar,M,1967-10-29,211.58,2023-03-27,Montgomery-Ruiz,Market
89,361536,Kurt,Dennis,M,1970-10-28,234.16,2023-05-24,"Davis, Griffin and Gates",Clothing
90,496809,Timothy,Collier,M,1950-11-02,10.51,2023-09-28,"Baker, Schaefer and Brown",Market
91,471552,Courtney,Johnson,M,1981-10-25,304.25,2023-04-16,Bryant-Sanchez,Electronics
93,925651,Carol,Wilson,M,1976-10-26,159.44,2023-05-18,Arnold Ltd,Clothing
95,838514,Andrew,Armstrong,M,2004-10-19,231.35,2023-03-02,Miller Inc,Clothing
96,981118,Anthony,Arnold,M,1971-10-28,2362.42,2023-06-28,"Thomas, Simpson and Tyler",Travel
97,658610,Nicole,Peterson,M,1965-10-29,395.33,2023-03-20,"Bryant, Mcbride and White",Market
101,370935,Hector,Saunders,M,1966-10-29,56.48,2023-06-23,"Waters, Morse and Gray",Market
104,908317,Catherine,Evans,M,1980-10-25,22.38,2023-08-27,"Green, Wilson and Henry",Restaurant
105,347539,Andres,Mckinney,M,1966-10-29,11.83,2023-01-25,Smith-Martinez,Restaurant
107,79597,Lindsay,Thompson,M,1955-11-01,246.7,2023-05-22,Moreno-Fernandez,Travel
108,95898,Raymond,Ayala,M,1969-10-28,58.75,2023-05-05,Webster and Sons,Restaurant
115,672487,Elizabeth,Johnson,M,1961-10-30,381.13,2023-09-17,Williams Inc,Market
122,313343,William,Willis,M,1988-10-23,996.09,2023-06-24,Jones and Sons,Electronics
125,147364,Shannon,Ruiz,M,1961-10-30,77.43,2023-03-23,Casey-Powers,Electronics
126,595276,Carolyn,Brown,M,1975-10-27,429.49,2023-02-05,"Hayes, Ross and Smith",Market
130,528337,Michael,Paul,M,1960-10-30,201.37,2023-02-21,Anderson Inc,Clothing
133,247945,Lisa,Morse,M,2000-10-20,134.33,2023-01-02,Vega-Jackson,Cosmetic
134,880747,Sarah,Mann,M,1991-10-23,2433.47,2023-06-13,Greene Inc,Travel
137,998320,Brenda,Haas,M,1963-10-30,90.16,2023-09-17,Hill LLC,Restaurant
139,664294,Ashley,Smith,M,2005-10-19,927.47,2023-01-07,Turner Group,Travel
142,160904,Scott,Chase,M,1971-10-28,2163.17,2023-04-10,"Hudson, Fry and Moore",Travel
145,954346,Patrick,Knight,M,1955-11-01,94.07,2023-03-17,Lewis Ltd,Cosmetic
146,603507,Scott,Daniels,M,1960-10-30,125.92,2023-07-29,"Kelly, Osborne and Moore",Clothing
155,713796,Mark,Anderson,M,1969-10-28,88.84,2023-10-06,Haney-Palmer,Cosmetic
157,514760,Harold,Smith,M,1956-10-31,212.61,2023-10-05,Melendez-Bennett,Clothing
158,671409,James,Parker,M,1971-10-28,1658.37,2023-06-01,"Hall, Wright and Jefferson",Travel
159,787275,Rebecca,Lopez,M,1995-10-22,53.81,2023-02-06,Nelson Inc,Market
160,416580,Sherri,Rich,M,1971-10-28,45.31,2023-03-17,"Wright, James and Smith",Cosmetic
161,584239,Christopher,Campbell,M,1958-10-31,73.39,2023-05-26,Johnson Inc,Restaurant
162,883989,Cameron,Nielsen,M,1974-10-27,45.99,2023-07-11,Evans LLC,Restaurant
164,311624,Donald,Glass,M,1984-10-24,31.97,2023-09-21,Weiss Ltd,Clothing
165,173126,Michael,Williams,M,1985-10-24,288.53,2023-02-17,Mcmillan Inc,Clothing
166,820056,Christopher,Reynolds,M,1994-10-22,2774.08,2023-10-10,Hall and Sons,Travel
171,77950,Jason,Jones,M,2004-10-19,424.61,2023-09-21,Campbell-Newman,Market
172,427939,Gwendolyn,Wiley,M,1969-10-28,136.61,2023-03-07,Wilson PLC,Clothing
176,805058,Kayla,Holt,M,1983-10-25,289.85,2023-03-28,Thornton-Ibarra,Electronics
180,838364,Matthew,Moody,M,1972-10-27,866.42,2023-07-17,"Hill, Bell and Morris",Electronics
182,358563,Richard,Lowery,M,1986-10-24,36.44,2023-08-29,"Robles, Jackson and Lang",Clothing
183,231013,Joan,Marquez,M,1953-11-01,529.08,2023-04-14,Mullen-Jones,Travel
185,752844,Paul,Potter,M,1986-10-24,31.99,2023-01-12,Mejia-Farley,Clothing
188,455713,Erin,Baker,M,1974-10-27,59.0,2023-04-12,Fisher Group,Restaurant
189,985602,Kimberly,Gonzalez,M,1950-11-02,232.62,2023-09-03,"Orozco, Patterson and Robinson",Clothing
190,209862,Barbara,Collins,M,1990-10-23,173.02,2023-01-17,Nichols-Brown,Cosmetic
197,151825,Sara,Gonzalez,M,1949-11-02,1981.24,2023-10-04,"Frey, Davis and Davis",Travel
198,178979,Jennifer,Villegas,M,1984-10-24,215.27,2023-02-03,Taylor-Lewis,Market
200,957395,Eric,Richard,M,1988-10-23,425.61,2023-09-03,Scott Ltd,Market
202,379290,Robert,Ramos,M,1970-10-28,115.83,2023-07-20,Duran-Hawkins,Clothing
204,760506,Anthony,Ball,M,1971-10-28,2471.45,2023-08-04,Richards Ltd,Travel
205,830134,Manuel,Mullen,M,1983-10-25,200.02,2023-02-19,"Jennings, Lopez and Lamb",Clothing
206,228033,George,Sullivan,M,1960-10-30,1893.84,2023-09-24,Cox-Brown,Travel
207,115511,Brandy,Whitehead,M,1950-11-02,265.58,2023-04-25,Nicholson-Gonzales,Clothing
208,857685,Todd,Hunt,M,1983-10-25,105.68,2023-06-23,"Meyer, Ryan and Conway",Market
212,216148,Sheila,Hall,M,1980-10-25,488.7,2023-04-07,Robinson-Gibson,Electronics
216,512231,Gregory,Ortega,M,1977-10-26,193.57,2023-06-04,"Smith, Kerr and Brooks",Market
218,169890,Cassandra,Larson,M,1959-10-31,2585.86,2023-05-30,Martinez Inc,Travel
220,376133,Alexander,Holmes,M,1960-10-30,359.88,2023-10-04,Stout-Brock,Market
221,898170,Gary,Montoya,M,1993-10-22,165.96,2023-04-22,Fox Inc,Cosmetic
222,766756,Audrey,Ho,M,1973-10-27,52.29,2023-09-13,Davis Group,Market
224,523959,Julie,Nelson,M,1988-10-23,161.17,2023-02-27,"Miller, Garza and Harvey",Cosmetic
225,135321,Erika,Owens,M,1977-10-26,692.42,2023-09-04,Norton LLC,Electronics
228,875584,Monique,Bright,M,1954-11-01,51.63,2023-09-02,Tucker Group,Clothing
229,611091,Melissa,Burns,M,1975-10-27,61.23,2023-08-10,"Smith, Everett and Ellis",Restaurant
231,527458,Edward,Pitts,M,2001-10-20,327.2,2023-04-29,Lewis Ltd,Electronics
232,403988,Jillian,Gonzales,M,1963-10-30,98.19,2023-06-15,"Aguirre, Thompson and Davis",Restaurant
233,7829,Kathleen,Carey,M,1962-10-30,18.03,2023-06-16,Gonzalez-Larson,Restaurant
234,99529,Claudia,Gillespie,M,1991-10-23,128.19,2023-06-17,Li-Lucas,Market
237,443377,Autumn,Hall,M,1994-10-22,791.56,2023-01-02,Bailey and Sons,Electronics
239,609070,Jesse,Dodson,M,1950-11-02,741.27,2023-07-02,Chandler-Watkins,Electronics
240,848726,Leslie,Walker,M,1994-10-22,527.27,2023-02-21,Green LLC,Electronics
241,966310,Daniel,Jenkins,M,1980-10-25,80.19,2023-02-10,Taylor-Thompson,Restaurant
242,618528,Benjamin,Carpenter,M,1983-10-25,14.92,2023-01-04,Owens LLC,Restaurant
243,696639,Brianna,Harris,M,1956-10-31,196.46,2023-01-24,Wood-Williams,Electronics
250,807777,Zachary,Cooley,M,1949-11-02,83.0,2023-03-29,Henderson Ltd,Restaurant
253,384523,Jose,Ruiz,M,1950-11-02,265.62,2023-01-22,Stone Ltd,Electronics
256,326446,Jose,Taylor,M,1954-11-01,2260.68,2023-05-05,Alexander-Miller,Travel
263,485816,Tamara,Wilson,M,1968-10-28,168.02,2023-01-27,Mcintosh-Snyder,Cosmetic
265,954845,Alicia,Mcintyre,M,1983-10-25,811.1,2023-05-21,Rivas-Anderson,Travel
267,88900,Joan,Snyder,M,1965-10-29,10.96,2023-09-01,Smith LLC,Cosmetic
269,736259,Paul,Wilson,M,1967-10-29,1035.32,2023-03-11,"Barnett, Price and Perkins",Travel
270,224307,Carlos,Hughes,M,1958-10-31,31.92,2023-06-19,Clark-Savage,Restaurant
271,21099,William,Santiago,M,1976-10-26,263.9,2023-07-04,Edwards-Rodgers,Market
274,110112,Deborah,Becker,M,1962-10-30,74.11,2023-03-04,Massey Inc,Restaurant
277,594622,Michael,Roberts,M,2000-10-20,2560.5,2023-06-05,Wilkinson Inc,Travel
283,248729,Alexis,Harrell,M,1976-10-26,83.89,2023-03-18,Atkins and Sons,Cosmetic
284,303872,William,Medina,M,2004-10-19,2428.68,2023-07-01,"Thomas, Fisher and Young",Travel
286,695579,Isaiah,Schultz,M,1993-10-22,229.6,2023-09-08,"Tran, Roberts and Coleman",Clothing
287,384380,Mark,Hill,M,1950-11-02,444.59,2023-09-27,"Holland, Colon and Joseph",Electronics
288,881230,Thomas,Shields,M,1997-10-21,113.58,2023-09-10,Jenkins Group,Cosmetic
290,28958,David,Kelley,M,1989-10-23,861.67,2023-02-27,Cobb-Smith,Travel
291,799062,Rachel,Mueller,M,1979-10-26,120.31,2023-05-10,"Stevens, Armstrong and Brown",Market
294,747675,Samuel,Jackson,M,1950-11-02,480.61,2023-08-01,Williams-Sanford,Travel
295,123959,William,Parker,M,1949-11-02,11.52,2023-05-12,Mitchell-Brooks,Restaurant
296,106971,Nicholas,Jordan,M,1979-10-26,2821.06,2023-05-15,"Compton, Dunn and Gilbert",Travel
297,179746,John,Bradley,M,1954-11-01,986.87,2023-07-18,Davis-Meadows,Electronics
298,478134,Anthony,Forbes,M,1967-10-29,139.02,2023-04-18,Smith Inc,Cosmetic
299,986328,Sandra,Lucas,M,1968-10-28,655.77,2023-04-15,Sweeney-Smith,Electronics
300,248395,Hailey,Chan,M,1998-10-21,285.63,2023-02-02,Wilkins PLC,Market
301,256977,Barbara,Nelson,M,1979-10-26,810.39,2023-06-25,Cox-Cooley,Electronics
302,623669,Paula,Perez,M,1965-10-29,48.5,2023-08-26,"May, Russo and James",Clothing
303,105836,Monica,Chavez,M,1982-10-25,41.92,2023-07-23,Faulkner-Conley,Restaurant
306,392787,Terry,Harris,M,1964-10-29,1581.15,2023-06-22,Webb-Martinez,Travel
307,862210,Ryan,Murphy,M,1964-10-29,27.4,2023-03-11,"Baker, Fox and Dunn",Restaurant
309,320618,Nancy,Love,M,1969-10-28,927.7,2023-05-12,Hughes-Schneider,Electronics
310,920531,Clayton,Simon,M,1983-10-25,247.18,2023-02-25,"Simmons, Meyer and Miller",Electronics
312,670384,Elizabeth,Davis,M,1994-10-22,154.58,2023-07-15,Price and Sons,Clothing
317,639867,Sara,Jackson,M,1995-10-22,311.92,2023-02-05,"Thompson, Keller and Wilson",Electronics
318,367752,John,Perkins,M,1993-10-22,803.76,2023-03-02,Dudley and Sons,Electronics
320,503926,Brian,Jordan,M,1975-10-27,930.34,2023-03-07,Wade-Brown,Travel
325,584831,Stephanie,Pittman,M,1968-10-28,1094.06,2023-01-12,"Ware, Lambert and Bernard",Travel
326,405970,Ellen,Ward,M,1999-10-21,55.48,2023-06-19,"York, Wong and Marshall",Restaurant
328,411991,Michael,Carlson,M,2004-10-19,493.81,2023-07-14,"Brown, Barry and Colon",Market
329,948021,Brandy,Braun,M,1956-10-31,175.04,2023-08-14,Bird-Hale,Electronics
330,544605,Rachel,Villanueva,M,1969-10-28,177.74,2023-04-12,Patton-Johnson,Cosmetic
332,94568,Anthony,Peterson,M,1949-11-02,855.36,2023-05-28,"Stout, Owen and Cortez",Electronics
335,735533,Alison,Walker,M,1955-11-01,428.61,2023-01-04,Norman LLC,Market
338,408054,Daniel,Burgess,M,1977-10-26,244.23,2023-03-18,Owens-Contreras,Clothing
340,397729,Timothy,Zavala,M,2002-10-20,218.71,2023-02-08,"Hurley, Hughes and Brown",Market
345,402489,Bernard,Smith,M,1951-11-02,735.88,2023-02-10,"Griffith, Taylor and Joyce",Travel
356,422981,Judith,George,M,1992-10-22,189.72,2023-06-13,"Bowen, Murray and Moore",Clothing
361,221424,Claudia,Manning,M,1991-10-23,811.41,2023-08-27,"Martin, Rowe and Hill",Electronics
362,558832,John,Parks,M,1977-10-26,163.27,2023-01-27,Alvarez-Wilson,Market
364,604673,Robert,Neal,M,1955-11-01,82.92,2023-01-10,Parsons Inc,Restaurant
372,283856,Nicole,Kelly,M,1976-10-26,796.26,2023-09-12,Walter and Sons,Travel
374,258993,Mitchell,Weaver,M,1979-10-26,377.1,2023-07-05,"Moore, Ferguson and Case",Electronics
376,472532,Lauren,Horn,M,1980-10-25,55.0,2023-05-20,Mueller-Poole,Cosmetic
379,546921,Stephanie,Vazquez,M,1983-10-25,154.55,2023-05-05,Page Ltd,Cosmetic
381,907669,Tamara,Mann,M,1959-10-31,200.71,2023-06-16,Hudson-Gonzales,Clothing
382,296651,Angela,Huber,M,1990-10-23,859.22,2023-06-24,Stevenson LLC,Travel
389,614656,Sandra,Lambert,M,1992-10-22,92.43,2023-07-04,Thomas-Wood,Restaurant
393,977466,Nathan,Robertson,M,1964-10-29,213.44,2023-02-18,Oconnell LLC,Market
394,151383,Laura,Odonnell,M,1992-10-22,1578.68,2023-09-22,Mason PLC,Travel
395,526633,James,Watson,M,1987-10-24,630.36,2023-07-29,Jones-Herrera,Electronics
397,997044,Jessica,Davis,M,1983-10-25,1341.44,2023-09-13,"Elliott, Bates and Garcia",Travel
399,766568,Karen,James,M,1955-11-01,84.63,2023-10-11,Schultz-Ramirez,Cosmetic
401,856812,Andrea,Mcdaniel,M,1983-10-25,135.25,2023-04-30,"Campbell, Douglas and Taylor",Clothing
402,863345,Catherine,Hoover,M,1989-10-23,602.22,2023-07-04,Johnson-Mora,Electronics
403,373587,Jillian,Fowler,M,1980-10-25,645.36,2023-03-10,Gonzalez-Tran,Electronics
406,593635,Jordan,Brown,M,2004-10-19,46.92,2023-01-01,Medina PLC,Restaurant
414,14386,Susan,Edwards,M,1970-10-28,91.84,2023-01-06,Anderson-Short,Restaurant
415,811363,Adam,Anderson,M,1991-10-23,69.33,2023-05-05,"Smith, Bell and Erickson",Restaurant
420,506663,Christopher,Silva,M,2001-10-20,56.61,2023-09-13,"Wheeler, Thomas and Winters",Cosmetic
422,314053,James,Farrell,M,1980-10-25,861.39,2023-05-03,Santos-Jones,Electronics
423,682354,Danny,Thomas,M,1963-10-30,155.97,2023-10-11,Buchanan-Walter,Electronics
424,622868,Emily,Gonzalez,M,1975-10-27,978.68,2023-08-21,Johnson-Williams,Electronics
428,398649,Alexandra,Hayes,M,1974-10-27,247.79,2023-09-18,Kramer PLC,Market
430,904432,Nathaniel,Smith,M,2003-10-20,288.37,2023-03-19,"Macias, Edwards and Mcknight",Clothing
433,144560,Dana,Schwartz,M,2002-10-20,2875.41,2023-02-10,Johnson PLC,Travel
437,275481,Kara,Mcdonald,M,2003-10-20,170.78,2023-02-28,"Porter, Parks and Welch",Cosmetic
438,962304,Diana,Trevino,M,1956-10-31,283.77,2023-07-01,"Lam, Long and Luna",Clothing
448,556186,Brett,Carpenter,M,1962-10-30,303.62,2023-06-08,Luna-Ashley,Electronics
450,474440,Travis,Hurst,M,1948-11-02,118.57,2023-04-13,Hicks-Cunningham,Cosmetic
451,82014,Rebecca,Evans,M,1986-10-24,58.28,2023-01-16,Warner-Mason,Restaurant
452,209845,Nicholas,Bell,M,1970-10-28,556.79,2023-07-05,"Miller, Gomez and Harris",Electronics
453,843977,Alicia,Kelly,M,1997-10-21,446.68,2023-03-27,"Lee, Jackson and Gonzalez",Electronics
454,55927,Kevin,Pratt,M,1956-10-31,147.86,2023-02-22,Reed-Khan,Market
455,419071,Angela,Carroll,M,1960-10-30,168.13,2023-02-08,Bentley Inc,Clothing
456,240295,Diana,Smith,M,1953-11-01,220.42,2023-09-17,Watson PLC,Market
458,420248,Scott,Stanley,M,1990-10-23,35.0,2023-04-13,Gomez Ltd,Restaurant
459,929086,Sara,Matthews,M,1994-10-22,390.48,2023-09-10,Buckley Inc,Market
461,957764,Logan,Barker,M,1956-10-31,52.66,2023-03-12,"Butler, Evans and Sims",Clothing
462,809877,Christopher,Miller,M,1991-10-23,52.76,2023-06-04,Allen-Ward,Clothing
464,803174,Maureen,Le,M,1998-10-21,183.49,2023-06-09,Strong-Douglas,Cosmetic
470,973696,Daniel,Villegas,M,1975-10-27,75.62,2023-07-15,"Prince, Nelson and Martin",Restaurant
471,978221,Deborah,Holt,M,1979-10-26,14.12,2023-10-12,Fox-Miranda,Restaurant
472,13348,William,Morales,M,1950-11-02,755.1,2023-08-24,"Cohen, Mccoy and Williams",Electronics
475,205030,Lisa,Richardson,M,1976-10-26,12.92,2023-03-03,"Bauer, Cross and Bennett",Restaurant
477,251519,Richard,Lewis,M,1961-10-30,1519.68,2023-09-25,Marshall-Flores,Travel
478,545777,Jill,Krueger,M,1958-10-31,10.58,2023-05-17,Gregory-James,Restaurant
479,262402,Shane,Esparza,M,2003-10-20,360.44,2023-05-10,"Leonard, Moore and Dennis",Market
483,246787,Tracey,Humphrey,M,1974-10-27,2718.59,2023-02-01,Schroeder Inc,Travel
484,751589,Tina,Wright,M,1963-10-30,54.09,2023-08-22,Nelson LLC,Restaurant
485,254468,Chris,Stone,M,1950-11-02,130.44,2023-03-31,Hobbs-Evans,Cosmetic
486,651224,Bethany,Black,M,1982-10-25,219.69,2023-07-06,Maldonado LLC,Travel
487,203751,Samantha,Morrison,M,1973-10-27,66.74,2023-05-14,Gardner-Sanchez,Clothing
488,409985,Stephanie,Powell,M,1970-10-28,248.63,2023-06-22,"Hernandez, Shaw and Mcconnell",Market
491,514487,Brenda,Mercado,M,2003-10-20,46.41,2023-09-11,"Koch, Ross and Mcdonald",Clothing
492,52472,Frank,Livingston,M,1992-10-22,867.13,2023-08-01,Sutton-Wilkerson,Electronics
493,465977,Jeffrey,Perry,M,1964-10-29,329.03,2023-09-12,Moore-Guerra,Market
504,618515,Jessica,Mitchell,M,2003-10-20,64.77,2023-06-06,Martinez-York,Clothing
505,983833,Anthony,Houston,M,1994-10-22,68.21,2023-02-02,"Fry, Adams and Johnson",Restaurant
507,818698,John,Young,M,1993-10-22,1058.86,2023-08-19,"Hinton, Ross and Smith",Travel
508,395232,Terri,Nelson,M,1948-11-02,164.52,2023-02-16,Sampson Inc,Clothing
509,916753,Bryan,Strickland,M,1984-10-24,144.48,2023-08-26,"George, Saunders and Powers",Clothing
511,483360,Juan,Thomas,M,1989-10-23,84.16,2023-04-25,Dixon and Sons,Cosmetic
513,857149,William,Cross,M,1992-10-22,27.28,2023-03-01,Lewis-Nguyen,Cosmetic
515,940167,Sarah,Barber,M,1954-11-01,138.27,2023-04-17,Franco PLC,Cosmetic
519,436820,Kimberly,Griffin,M,1951-11-02,408.0,2023-08-15,Gonzalez-Hatfield,Market
520,34209,Lisa,Riley,M,1994-10-22,60.4,2023-01-28,Wilkins-Cooper,Clothing
521,544854,Lauren,Bryant,M,1963-10-30,137.76,2023-07-03,Garza-Morales,Cosmetic
523,349965,Katrina,Lee,M,1980-10-25,861.92,2023-05-17,"Moore, Reyes and Craig",Electronics
526,386079,Catherine,Davis,M,1982-10-25,264.84,2023-09-10,Hernandez-Sandoval,Electronics
527,622864,Courtney,Mora,M,1963-10-30,116.63,2023-04-07,Hunt-Daniel,Cosmetic
529,197368,Tiffany,Ortiz,M,1958-10-31,70.25,2023-04-13,"Perez, Chapman and Reid",Cosmetic
530,829341,Christopher,Padilla,M,1960-10-30,960.39,2023-05-16,"Salazar, Martinez and Murphy",Electronics
531,717342,Meghan,Myers,M,1988-10-23,1570.67,2023-07-04,Carlson Inc,Travel
532,247412,Julie,Wallace,M,2001-10-20,285.06,2023-08-08,Ramos Ltd,Market
536,892582,Stefanie,Arroyo,M,1978-10-26,44.38,2023-09-28,Arroyo-Weaver,Cosmetic
538,771156,Connor,Contreras,M,1990-10-23,135.51,2023-06-18,Joseph-Rodriguez,Cosmetic
541,869401,Jason,Miranda,M,1987-10-24,25.31,2023-03-14,Davis LLC,Market
542,339117,David,Miranda,M,1966-10-29,63.49,2023-08-03,Peterson-Fowler,Clothing
544,116037,Rodney,Galloway,M,1977-10-26,15.15,2023-08-22,Gonzalez Inc,Restaurant
547,614332,Lindsey,Martin,M,1995-10-22,322.37,2023-09-04,"Foster, Whitaker and Miller",Market
548,117226,Bradley,Rivera,M,1982-10-25,135.55,2023-07-13,Moody-Salinas,Cosmetic
550,924028,Paul,Robinson,M,1963-10-30,197.61,2023-05-09,Fowler-Calhoun,Electronics
551,761388,Melissa,Burnett,M,1974-10-27,120.33,2023-08-25,"Cantrell, Juarez and King",Cosmetic
552,738821,Pamela,Soto,M,1964-10-29,2282.64,2023-01-08,Green Ltd,Travel
553,289678,Brian,Allen,M,1948-11-02,90.53,2023-10-03,Griffith-Brown,Electronics
555,57036,Stephen,Osborne,M,1966-10-29,257.64,2023-05-17,Mcclain Group,Clothing
557,957619,Alexis,Meyer,M,1985-10-24,216.66,2023-04-21,"Arias, Thomas and White",Electronics
558,990673,Jessica,Ellis,M,1985-10-24,833.73,2023-08-06,Taylor Inc,Electronics
566,640647,Tracy,Gregory,M,1976-10-26,165.84,2023-09-28,Peterson-Wilson,Cosmetic
570,260643,Stephanie,Salinas,M,1975-10-27,2241.23,2023-06-12,"Hughes, Martin and Garcia",Travel
571,364792,Stacy,Meyer,M,1998-10-21,83.15,2023-04-13,Price-Johnson,Cosmetic
572,496130,Yesenia,Barron,M,1969-10-28,37.98,2023-07-09,"Robinson, Blankenship and Pineda",Cosmetic
575,200691,Shane,Brown,M,1998-10-21,67.12,2023-04-27,Gonzalez PLC,Restaurant
580,969550,Shelly,Stafford,M,1969-10-28,116.81,2023-01-05,Lewis Group,Electronics
581,59276,Brian,Smith,M,1960-10-30,51.11,2023-07-26,"Gilbert, Mcguire and Henderson",Cosmetic
583,426551,Valerie,Mullins,M,1983-10-25,117.42,2023-06-16,Wolfe-Hopkins,Clothing
592,926652,Sonya,Moore,M,1980-10-25,234.67,2023-09-05,Pugh-Smith,Clothing
598,540337,Kimberly,Landry,M,1954-11-01,1928.83,2023-02-22,"Smith, Sexton and Quinn",Travel
599,173710,Tyler,Rodriguez,M,1951-11-02,65.73,2023-04-07,"Green, Leach and Torres",Restaurant
601,701017,William,Rangel,M,1985-10-24,1701.15,2023-07-11,Johnson PLC,Travel
603,920423,James,Hartman,M,1972-10-27,297.16,2023-07-12,Lee-Bolton,Clothing
605,27774,Megan,Wilson,M,1966-10-29,159.86,2023-08-06,"Huffman, Gomez and Burnett",Clothing
607,918283,Michelle,Hall,M,1982-10-25,1291.9,2023-01-17,Wood-Rice,Travel
609,573549,Eric,Logan,M,1949-11-02,176.65,2023-09-27,Jacobson Group,Market
611,249040,Michael,Jackson,M,1985-10-24,251.86,2023-08-09,Gilbert-Allen,Travel
612,714708,Lynn,Cook,M,1977-10-26,57.46,2023-07-22,Brown-Bush,Clothing
613,441584,Daniel,Cunningham,M,1975-10-27,96.72,2023-06-04,Dixon Ltd,Cosmetic
616,316308,Elizabeth,Lopez,M,1956-10-31,305.91,2023-09-03,Yu-Owen,Market
618,91453,Patricia,Nolan,M,1957-10-31,194.2,2023-06-22,Hall Inc,Clothing
626,758415,Judith,Charles,M,1948-11-02,1969.58,2023-07-15,Kelly Ltd,Travel
627,856820,Teresa,Bailey,M,2002-10-20,215.78,2023-02-12,Pierce-Moore,Clothing
629,262908,Suzanne,Petersen,M,1963-10-30,1979.35,2023-09-29,Branch-Hunter,Travel
630,29306,Vanessa,Martinez,M,1992-10-22,2105.93,2023-06-25,"Farmer, Daniels and Sanchez",Travel
632,43037,Maria,Rivera,M,1965-10-29,1206.32,2023-08-17,Hampton-Juarez,Travel
637,343956,Michael,Fernandez,M,1991-10-23,1419.18,2023-01-29,Jordan-Edwards,Travel
638,188934,Russell,Evans,M,1968-10-28,32.29,2023-06-04,"Gonzalez, Griffith and Michael",Restaurant
643,604095,Sharon,Coffey,M,1962-10-30,208.25,2023-03-01,"Vasquez, Hansen and Martinez",Clothing
646,35515,Kevin,Munoz,M,1961-10-30,219.69,2023-08-20,Thompson-Reynolds,Market
649,232827,Tiffany,Mills,M,1956-10-31,297.67,2023-02-14,Morgan LLC,Clothing
650,775810,Kyle,Gomez,M,1980-10-25,70.28,2023-08-16,White Inc,Market
653,153742,Rachael,Cox,M,1965-10-29,58.35,2023-06-26,Baird Group,Restaurant
657,521078,Thomas,Gay,M,1979-10-26,66.66,2023-07-19,Johnson-Smith,Restaurant
659,62447,Kevin,Lee,M,1983-10-25,36.35,2023-02-18,"Johnson, Trevino and Mcmahon",Restaurant
662,587716,Eric,Roberts,M,1959-10-31,211.32,2023-06-22,"Kennedy, Robinson and Reyes",Clothing
